id,username,email,role,Make,Acceleration 0 - 100 km/h,Top Speed,Electric Range,Total Power,Total Torque,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Maintenance Cost,Battery Capacity,Pincode,Date,Time,Location Longitude,Location Latitude,Status,Drive,Battery Level,Range
241,amywells,nicholasgallagher@holland.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2310.47,78,19047,27-09-2024,02:35:35,122.266884,4.027969,0,Front,35,169.75
242,jessica89,bevans@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4305.9,78,55524,20-10-2024,21:51:58,-23.880209,-0.48404,1,Front,42,203.7
243,jennifer86,collinskimberly@murray.biz,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2771.78,78,38724,02-09-2024,12:59:20,63.718793,16.520832,0,Front,43,208.55
244,sophia54,richardperez@wood.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1486.42,83.9,96084,10-01-2024,17:50:08,-115.033755,-24.71346,1,Rear,92,446.2
245,abennett,william88@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2430.22,82,30105,10-10-2024,08:15:54,-41.209515,-5.376214,1,Rear,99,480.15
246,angelamason,martin27@decker.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1901.19,83.9,38472,23-09-2024,10:50:23,-73.936005,57.167763,1,Rear,81,392.85
247,john33,mariascott@yahoo.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3720.77,82,93415,17-02-2024,19:38:57,-79.563744,39.296014,0,AWD,100,485
248,lindsayshaffer,dawsonshawn@griffith-cobb.net,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3398.96,82,6835,23-08-2024,16:46:52,170.94304,-3.188875,1,AWD,63,305.55
249,mccoyjames,richardmorris@williams.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2486.53,82,95313,30-01-2024,11:35:35,90.433474,81.976037,0,AWD,49,237.65
250,uchang,murrayvincent@yahoo.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1367.3,82,72924,06-10-2024,20:58:19,166.150365,-86.711258,1,AWD,89,431.65
251,buckjason,willismatthew@rodriguez-anderson.org,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3505.34,78,69165,06-01-2024,05:49:40,-129.05825,25.502669,0,Front,81,392.85
252,ocook,jessica91@hotmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2256.75,78,54962,02-01-2024,11:35:16,120.275088,-15.460964,0,Front,59,286.15
253,peterlynch,normajones@hotmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1185.17,82,9795,09-11-2024,11:56:28,4.312808,-10.74472,0,AWD,63,305.55
254,daniel43,vmoreno@willis.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3641.07,83.9,22861,12-11-2024,02:53:20,-171.773537,42.611083,0,Rear,44,213.4
255,catherinewagner,shannonrogers@jones-scott.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4170.87,82,91650,16-10-2024,07:46:39,-100.157282,28.714364,0,AWD,95,460.75
256,aprilrussell,crystal53@walls-patterson.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2499.52,82,68571,26-09-2024,17:29:02,90.331478,51.523793,0,AWD,74,358.9
257,ronaldbradford,nancybrown@ward.org,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3506.23,82,12085,13-11-2024,21:51:32,22.135053,-72.368868,1,AWD,67,324.95
258,dmoore,shelby31@saunders.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2511.14,82,47135,21-01-2024,13:46:35,-110.526619,10.404309,1,AWD,88,426.8
259,ryanrodriguez,phines@gmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4998.03,82,81920,22-03-2024,07:44:45,-112.142874,-13.667372,1,AWD,54,261.9
260,kara01,peggy08@deleon-cooper.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4720.58,82,63007,16-09-2024,11:42:18,-141.152684,34.204383,1,Rear,91,441.35
261,ricklewis,brownelizabeth@yahoo.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2665.61,82,91085,26-09-2024,17:44:03,-157.115214,66.181038,0,Rear,36,174.6
262,romerovictoria,justin20@cowan.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1620.75,82,53304,20-10-2024,15:38:07,-174.015131,28.822391,0,Rear,49,237.65
263,kwang,maria99@hotmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,4467.24,83.9,96151,19-09-2024,17:21:34,-34.236466,-19.324383,0,Rear,52,252.2
264,hdavis,amandadiaz@yahoo.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3342.29,82,83964,08-08-2024,01:33:16,130.981816,-84.558119,1,Rear,98,475.3
265,annette40,stephaniezamora@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2302.84,82,24743,30-10-2024,09:19:53,-121.354188,-29.387402,0,AWD,60,291
266,kimberlyjordan,bdean@kennedy.biz,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2750.06,83.9,4501,06-09-2024,16:54:53,-104.561843,68.225456,0,Rear,77,373.45
267,kylehahn,markbates@santos-roach.net,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3145.57,83.9,18657,12-09-2024,12:58:30,-159.005776,31.140085,0,Rear,99,480.15
268,hufftina,susan12@knight.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4076.38,82,53746,17-08-2024,02:01:21,59.079225,20.173419,0,AWD,51,247.35
269,ryanadams,ocooper@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3215.29,78,28895,06-01-2024,11:12:39,-133.985476,-80.500367,1,Front,99,480.15
270,rgarcia,lindsayedwards@hooper-christensen.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2953.22,83.9,25672,28-10-2024,11:46:32,131.992993,-46.309136,0,Rear,91,441.35
271,johnhogan,connie00@gmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1285.34,82,63208,19-10-2024,22:56:17,94.532656,-16.586377,1,AWD,43,208.55
272,contreraswillie,dbrown@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3469.51,82,51250,14-07-2024,04:41:49,-101.531965,-82.105851,0,AWD,40,194
273,barnettlisa,williamscarl@hotmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1822.35,82,7839,25-08-2024,05:11:07,-59.52059,75.192191,0,Rear,66,320.1
274,cartercatherine,chavezkim@hotmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4933.8,82,68895,17-03-2024,04:22:24,-11.443212,74.582992,0,AWD,96,465.6
275,dsims,dananelson@yahoo.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3894.45,78,58257,20-06-2024,03:24:49,68.420974,50.687352,1,Front,67,324.95
276,tmartin,jessicahines@yahoo.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2956.9,82,88501,20-02-2024,09:58:21,54.298725,13.757148,1,AWD,67,324.95
277,andrew17,kleblanc@hotmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1068.49,78,92157,21-08-2024,04:14:09,-135.615531,-58.675801,0,Front,98,475.3
278,andrew88,wallerjames@yahoo.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4195.65,78,30924,04-02-2024,10:09:08,143.802509,66.743994,0,Front,50,242.5
279,jennifer23,irodriguez@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4757.82,78,61351,05-01-2024,05:46:32,-170.833948,-45.62747,0,Front,32,155.2
280,millerfrank,robinsonrobert@hotmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1689.22,82,88271,03-05-2024,17:35:35,167.268711,-77.494529,1,Rear,64,310.4
281,wpayne,leeseth@hotmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1869.91,82,71959,25-04-2024,23:14:35,-68.546913,-15.278746,0,AWD,56,271.6
282,barbergary,thomasrandall@hotmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3482.51,82,6137,13-11-2024,05:08:02,-35.229276,5.326019,1,AWD,100,485
283,justin03,evelyncollier@yahoo.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3632.71,82,62157,26-07-2024,09:05:46,-50.267166,-36.246946,0,AWD,31,150.35
284,ffigueroa,charlesflowers@davis.net,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3374.04,82,24407,09-02-2024,15:02:41,10.011358,7.158399,1,Rear,41,198.85
285,Apr-62,rmueller@hotmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3753.98,82,57901,31-03-2024,04:06:28,144.197255,37.043567,1,Rear,75,363.75
286,nancyryan,amyferrell@johnson-perez.info,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2459.22,82,97335,09-01-2024,06:12:32,9.927008,58.225224,1,AWD,96,465.6
287,hpowell,zgraves@yahoo.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1822.59,83.9,31427,06-06-2024,20:29:43,11.779192,1.054228,0,Rear,59,286.15
288,michellesmith,ffernandez@pittman.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1733.99,78,88828,02-03-2024,05:48:56,-86.744773,29.870537,0,Front,84,407.4
289,alexis58,mcdanielrichard@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1360.7,78,96509,29-01-2024,04:41:29,-120.964075,40.03263,1,Front,97,470.45
290,charlesduncan,wnovak@hotmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3025.69,78,5669,04-08-2024,06:08:08,34.578574,14.272578,0,Front,85,412.25
291,joe99,bentondavid@gmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3378.64,82,43870,06-11-2024,20:43:09,-34.157851,86.457967,1,AWD,89,431.65
292,eileendaniels,deborah49@yahoo.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2924.46,83.9,96894,24-08-2024,22:33:38,-9.907173,-38.260328,1,Rear,75,363.75
293,hollandjustin,wrivers@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2545.29,78,91632,11-09-2024,04:40:26,-137.49345,36.965466,0,Front,35,169.75
294,sandra38,mmyers@hotmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4220.68,82,86579,13-03-2024,15:34:43,-145.801973,72.81321,0,AWD,82,397.7
295,xhill,ballelizabeth@simpson-patel.biz,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2195.57,82,71538,28-02-2024,16:29:41,58.596364,11.794664,0,AWD,35,169.75
296,twagner,lukeray@gamble-johnson.net,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3613.78,82,42215,21-09-2024,16:53:28,-128.745303,-5.396001,1,Rear,61,295.85
297,rschneider,brett40@kline.biz,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4489.81,82,95880,28-08-2024,20:18:00,-106.981748,53.11246,0,AWD,84,407.4
298,bcarroll,joshuaweaver@cooper.net,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4047.4,78,52035,27-06-2024,21:09:40,-1.146276,30.655278,1,Front,45,218.25
299,donaldserrano,daniellewalters@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2822.12,82,90092,25-07-2024,21:43:55,87.262153,-20.45344,0,AWD,76,368.6
300,kristine33,richard41@becker.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2902.22,82,95190,06-07-2024,16:37:58,-88.727886,-89.188767,1,AWD,78,378.3
301,kjackson,oshah@walker.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3440.32,78,13899,27-03-2024,22:47:09,-83.522264,74.267963,0,Front,30,145.5
302,bwood,stephanie85@gmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1651.34,83.9,80439,04-05-2024,04:21:00,129.650179,-9.764869,0,Rear,81,392.85
303,mallory30,courtney18@jones.org,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2692.41,83.9,63972,05-03-2024,10:52:47,98.067224,61.470554,1,Rear,60,291
304,brandi40,jason41@carter-rodriguez.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3538.31,82,27016,11-02-2024,12:28:01,-98.357599,21.208108,0,Rear,62,300.7
305,michaelmercado,hluna@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3119.01,82,31715,06-11-2024,12:04:42,-88.475498,81.882593,0,AWD,75,363.75
306,brandon94,campbellkayla@johnson.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3331.51,82,60352,28-05-2024,18:32:57,87.859874,0.063292,0,Rear,79,383.15
307,hortonalexandra,katherinesmith@anderson-kirk.net,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4634.73,78,73613,24-10-2024,10:44:25,-84.172271,-59.767638,1,Front,95,460.75
308,pamelamcconnell,ubrown@hotmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2720.49,82,66881,10-06-2024,14:43:52,-110.728875,-36.350388,1,AWD,92,446.2
309,rryan,devonmccarthy@hotmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4769.13,78,44709,14-10-2024,21:48:27,-178.85745,83.341372,0,Front,44,213.4
310,jessica65,gregory24@hotmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3780.96,82,16053,02-02-2024,02:07:10,-166.75264,-82.405581,0,Rear,83,402.55
311,anthony00,lauriewatson@willis.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1050.33,82,31489,20-02-2024,03:57:19,149.238589,-24.99071,0,Rear,75,363.75
312,miranda13,matthew08@schultz.net,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2103.96,82,97252,11-03-2024,01:49:40,164.377162,31.693312,1,AWD,56,271.6
313,kevin88,twillis@yahoo.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1467.65,83.9,19384,13-07-2024,00:10:20,168.057566,66.633386,0,Rear,44,213.4
314,ocole,dawn20@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4617.28,82,48511,19-07-2024,16:37:13,-12.492132,84.339239,1,AWD,49,237.65
315,samantharoberts,lindathompson@morton.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1122.38,82,17054,18-03-2024,14:36:45,35.777608,8.840043,1,AWD,89,431.65
316,simsclaire,frodgers@sanchez.net,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4134.13,82,61211,13-05-2024,03:00:19,-161.146925,28.139756,0,AWD,83,402.55
317,katiepowell,lthompson@castillo-flores.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1471.46,78,74168,31-08-2024,06:39:18,-16.898536,-79.261098,0,Front,64,310.4
318,nicholashuffman,douglas18@harmon.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4461.91,82,96125,09-02-2024,12:43:32,-68.646437,19.121414,1,AWD,76,368.6
319,jenniferhorne,bryanmcdaniel@gmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4911.48,82,58552,01-11-2024,23:05:39,102.813359,-7.655642,0,AWD,69,334.65
320,sararios,nguyengerald@moses.biz,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2012.89,82,22939,09-02-2024,23:17:15,-112.665752,48.571568,0,Rear,73,354.05
321,diane91,angelathomas@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1358,78,43112,10-09-2024,14:54:09,67.801038,60.276919,1,Front,47,227.95
322,kristinafoley,angela44@martinez-hardy.info,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2910.26,78,97116,15-10-2024,02:40:26,120.214696,-20.12729,0,Front,55,266.75
323,lindseyroberts,jose49@carr-hardy.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2811.5,83.9,59067,22-08-2024,07:04:31,16.305767,50.043618,1,Rear,71,344.35
324,lopezgrant,brianwright@mcdonald.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3781.22,82,28581,09-07-2024,09:55:12,-178.110437,-72.341488,1,AWD,92,446.2
325,bethanygrant,edwardburnett@taylor.biz,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4059.16,82,96079,03-11-2024,13:04:32,107.059062,86.103942,0,Rear,81,392.85
326,glenware,robrien@yahoo.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3248.63,78,68478,14-07-2024,14:17:04,-57.627753,61.812355,0,Front,97,470.45
327,nbailey,jack86@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3946.94,78,98884,02-11-2024,21:04:56,-115.973127,-33.76602,1,Front,71,344.35
328,andrespence,kbrewer@flores.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4880.5,82,28032,09-10-2024,06:07:20,-103.136313,64.571335,0,AWD,63,305.55
329,maxwelldawn,elizabeth14@woods.net,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4718.03,82,25778,23-01-2024,08:02:50,-50.24775,40.459635,0,AWD,53,257.05
330,rayvictoria,gloriaporter@ponce.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2759.78,83.9,96413,28-02-2024,05:59:07,-79.198917,7.557719,0,Rear,51,247.35
331,davidmcdaniel,qowens@gmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2829.59,78,7513,14-02-2024,04:01:57,-13.523613,68.173457,1,Front,57,276.45
332,wilsonpatrick,robinwilliams@griffith.net,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3706.03,83.9,57862,06-04-2024,02:33:53,-49.163647,77.633088,0,Rear,66,320.1
333,benjaminarmstrong,irogers@gmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3412.14,82,87052,10-03-2024,14:49:48,-69.334232,-73.572836,0,AWD,82,397.7
334,kimberly12,craigmitchell@hotmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3020.11,82,90028,02-06-2024,02:50:45,-57.224808,-84.934027,0,Rear,40,194
335,sandraheath,edwardmitchell@gmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1406.77,82,2744,15-11-2024,08:33:59,179.167171,-73.419005,0,AWD,86,417.1
336,virginia56,trujillojason@carroll.org,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2193.49,82,65585,15-11-2024,17:42:26,100.61512,-11.683215,0,Rear,54,261.9
337,perezshawn,james58@fernandez-hughes.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3825.71,82,28289,11-01-2024,08:37:59,-176.308951,-13.967103,0,AWD,70,339.5
338,anthonybranch,nmartinez@mendoza.info,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2302.85,82,36929,24-01-2024,16:44:14,31.001646,-17.405661,1,AWD,69,334.65
339,ramosjennifer,lsimmons@gutierrez.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1416.35,82,37384,25-07-2024,04:20:09,-87.615696,-57.917654,1,AWD,39,189.15
340,luis20,antonio01@jensen.info,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4244.94,78,74481,25-10-2024,06:38:24,-80.628448,50.53413,0,Front,43,208.55
341,rodney49,scott55@coleman-thompson.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2406.39,82,33436,05-07-2024,05:00:00,-129.476954,82.394654,1,Rear,89,431.65
342,steven01,hammondlaura@martinez.biz,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4416.57,82,73094,30-03-2024,21:19:33,-114.754127,74.007892,0,AWD,30,145.5
343,fhill,rodneywilliams@gmail.com,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2775.39,82,68245,07-02-2024,19:03:22,172.639098,-21.372444,1,AWD,50,242.5
344,seth29,mccannjanet@miller-romero.biz,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2058.03,83.9,59871,09-02-2024,20:46:08,-141.991602,8.320996,0,Rear,98,475.3
345,vmarquez,hesskeith@finley.biz,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4185.16,82,23436,14-02-2024,14:58:41,97.028491,49.049492,1,AWD,31,150.35
346,smithryan,sean69@yahoo.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1791.62,82,65535,12-01-2024,09:55:39,-122.353266,-43.617959,0,Rear,45,218.25
347,cookyvonne,zmoore@weeks-massey.biz,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3778.09,83.9,57754,15-11-2024,06:23:49,-47.986208,1.790208,0,Rear,81,392.85
348,brenda83,dsmith@powell-coleman.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4056.83,82,43798,31-08-2024,11:36:32,-19.4722,-78.460973,0,Rear,66,320.1
349,popebrent,qmartinez@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1039.43,82,3076,17-10-2024,16:16:36,54.511054,-54.65417,1,Rear,90,436.5
350,amydavid,audrey53@bright.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3254.78,82,33992,25-08-2024,00:42:09,-143.558781,-58.966315,1,AWD,46,223.1
351,mortonkenneth,hlogan@yahoo.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2648.63,82,84240,27-03-2024,19:06:45,-156.836667,57.995079,1,Rear,88,426.8
352,stevengonzales,jreyes@carter.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4931.93,78,19957,24-03-2024,15:10:40,146.614171,-69.282726,1,Front,35,169.75
353,washingtonashley,mariahgill@white-mclaughlin.net,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2007.94,78,88284,17-08-2024,19:42:25,148.721456,1.596576,1,Front,66,320.1
354,forbessean,dawsonrhonda@stephenson.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4666.99,82,3949,24-03-2024,00:30:22,-150.264513,-75.314108,1,Rear,64,310.4
355,iweiss,davisbrian@guerrero.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3290.46,82,83184,07-11-2024,07:53:02,-37.741978,-54.447177,0,AWD,83,402.55
356,cody81,gabrielle99@larson.info,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4684.03,82,19716,13-02-2024,10:09:40,-43.122262,89.942621,1,Rear,49,237.65
357,simonamanda,ochoamelissa@hotmail.com,Driver,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1514.93,83.9,52798,10-04-2024,19:06:43,-142.016868,73.062821,1,Rear,37,179.45
358,eugenemartinez,ashleyalexander@hotmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1678.94,78,49495,18-06-2024,16:18:48,-110.382172,31.055529,1,Front,74,358.9
359,bryanjohnson,ewells@davis.biz,Driver,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1607.77,82,74350,03-02-2024,11:55:01,-27.973678,-41.133338,0,AWD,87,421.95
360,pdavis,williamporter@nelson.net,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4942.33,78,66651,28-02-2024,20:26:54,-131.401442,-42.165808,0,Front,76,368.6
361,qlane,adamsbrianna@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2085.76,82,94005,15-02-2024,19:35:35,-168.974977,-69.379792,0,Rear,95,460.75
362,tylerrodney,jwilliams@hotmail.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3713.8,82,33021,09-03-2024,01:07:39,75.290238,-71.534399,0,AWD,64,310.4
363,mathewbennett,zcarpenter@santiago.com,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3211.97,82,79766,12-06-2024,13:53:30,-106.51271,59.627525,1,AWD,97,470.45
364,mary66,selena60@chavez-edwards.com,Driver,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4924.51,82,58689,05-01-2024,13:46:58,73.193908,33.571076,1,Rear,61,295.85
365,curtis22,margaretrussell@hotmail.com,Driver,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2059.49,78,72159,18-02-2024,12:47:18,-90.5926,56.259004,0,Front,34,164.9
366,josephross,beardderrick@foster-hernandez.net,Driver,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4195.4,82,58850,21-08-2024,08:24:01,-32.180083,-62.489399,0,AWD,78,378.3
